"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
50, 1.188480158220000e-01, 2.220446049250313e-16, 1.150641686916370e+05, 1.901936817826666e-01, 3.667038601918620e-03, 0.000000000000000e+00
51, 1.242462442510000e-01, 2.220446049250313e-16, 1.150639874419879e+05, 1.901371248686877e-01, 3.641504397068368e-03, 0.000000000000000e+00
52, 1.297284369870000e-01, 2.220446049250313e-16, 1.150638147727994e+05, 1.900832453909128e-01, 3.616889013209388e-03, 0.000000000000000e+00
53, 1.352977746630000e-01, 2.220446049250313e-16, 1.150636453822299e+05, 1.900303889692855e-01, 3.593122788196270e-03, 0.000000000000000e+00
54, 1.409575779210000e-01, 2.220446049250313e-16, 1.150634768217900e+05, 1.899777915802804e-01, 3.570133131740726e-03, 0.000000000000000e+00
55, 1.467113157020000e-01, 2.220446049250313e-16, 1.150633145082105e+05, 1.899271434537969e-01, 3.547858078732050e-03, 0.000000000000000e+00
56, 1.525626141330000e-01, 2.220446049250313e-16, 1.150631572179555e+05, 1.898780627991938e-01, 3.526250469014057e-03, 0.000000000000000e+00
57, 1.585152660350000e-01, 2.220446049250313e-16, 1.150630008456553e+05, 1.898292685820568e-01, 3.505262094320215e-03, 0.000000000000000e+00
58, 1.645732411200000e-01, 2.220446049250313e-16, 1.150628459254738e+05, 1.897809274822595e-01, 3.484841958163879e-03, 0.000000000000000e+00
59, 1.707406969350000e-01, 2.220446049250313e-16, 1.150626968595791e+05, 1.897344131467736e-01, 3.464951364501204e-03, 0.000000000000000e+00
60, 1.770219906140000e-01, 2.220446049250313e-16, 1.150625515555251e+05, 1.896890726513517e-01, 3.445561753951379e-03, 0.000000000000000e+00
61, 1.834216915030000e-01, 2.220446049250313e-16, 1.150624055911609e+05, 1.896435261135667e-01, 3.426636857877670e-03, 0.000000000000000e+00
62, 1.899445947530000e-01, 2.220446049250313e-16, 1.150622607497998e+05, 1.895983299962500e-01, 3.408136938856747e-03, 0.000000000000000e+00
63, 1.965957359540000e-01, 2.220446049250313e-16, 1.150621208488080e+05, 1.895546754656128e-01, 3.390035278077040e-03, 0.000000000000000e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 1.150619846524850e+05, 1.895121769351961e-01, 3.372314044059848e-03, 0.000000000000000e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 1.150618473912793e+05, 1.894693461201213e-01, 3.354946993135773e-03, 0.000000000000000e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 1.150617100198214e+05, 1.894264809020674e-01, 3.337902571954689e-03, 0.000000000000000e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 1.150615761182557e+05, 1.893846984248694e-01, 3.321159659893539e-03, 0.000000000000000e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 1.150614469240873e+05, 1.893443848380134e-01, 3.304707727428907e-03, 0.000000000000000e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 1.150613174422467e+05, 1.893039814863020e-01, 3.288530291292387e-03, 0.000000000000000e+00
70, 2.472257710730000e-01, 2.220446049250313e-16, 1.150611859003986e+05, 1.892629353324179e-01, 3.272600527863093e-03, 0.000000000000000e+00
71, 2.551187880890000e-01, 2.220446049250313e-16, 1.150610562108217e+05, 1.892224671589213e-01, 3.256897774302919e-03, 0.000000000000000e+00
72, 2.631992566980000e-01, 2.220446049250313e-16, 1.150609314220115e+05, 1.891835282145399e-01, 3.241414468341959e-03, 0.000000000000000e+00
73, 2.714757349350000e-01, 2.220446049250313e-16, 1.150608081951015e+05, 1.891450766435565e-01, 3.226142396728853e-03, 0.000000000000000e+00
74, 2.799572875080000e-01, 2.220446049250313e-16, 1.150606821218608e+05, 1.891057369070729e-01, 3.211061275072817e-03, 0.000000000000000e+00
75, 2.886535243940000e-01, 2.220446049250313e-16, 1.150605560721180e+05, 1.890664045028565e-01, 3.196150807195688e-03, 0.000000000000000e+00
76, 2.975746430190000e-01, 2.220446049250313e-16, 1.150604326065875e+05, 1.890278784730300e-01, 3.181400677647704e-03, 0.000000000000000e+00
77, 3.067314743950000e-01, 2.220446049250313e-16, 1.150603133043570e+05, 1.889906515541120e-01, 3.166806386477643e-03, 0.000000000000000e+00
78, 3.161355336610000e-01, 2.220446049250313e-16, 1.150601932927309e+05, 1.889532032763158e-01, 3.152357894546935e-03, 0.000000000000000e+00
79, 3.257990755320000e-01, 2.220446049250313e-16, 1.150600703677045e+05, 1.889148459046863e-01, 3.138036470828177e-03, 0.000000000000000e+00
80, 3.357351552200000e-01, 2.220446049250313e-16, 1.150599485292022e+05, 1.888768275706899e-01, 3.123828526385029e-03, 0.000000000000000e+00
81, 3.459576954530000e-01, 2.220446049250313e-16, 1.150598301349634e+05, 1.888398839803785e-01, 3.109729083257218e-03, 0.000000000000000e+00
82, 3.564815603450000e-01, 2.220446049250313e-16, 1.150597137109960e+05, 1.888035551911122e-01, 3.095732041400334e-03, 0.000000000000000e+00
83, 3.673226369200000e-01, 2.220446049250313e-16, 1.150595948926004e+05, 1.887664792474447e-01, 3.081823524544930e-03, 0.000000000000000e+00
84, 3.784979252510000e-01, 2.220446049250313e-16, 1.150594745979765e+05, 1.887289426633311e-01, 3.067988039348388e-03, 0.000000000000000e+00
85, 3.900256382880000e-01, 2.220446049250313e-16, 1.150593556723753e+05, 1.886918332673700e-01, 3.054216466639603e-03, 0.000000000000000e+00
86, 4.019253126140000e-01, 2.220446049250313e-16, 1.150592407326807e+05, 1.886559676287235e-01, 3.040505362136222e-03, 0.000000000000000e+00
87, 4.142179315450000e-01, 2.220446049250313e-16, 1.150591258451165e+05, 1.886201182567463e-01, 3.026848985766574e-03, 0.000000000000000e+00
88, 4.269260622260000e-01, 2.220446049250313e-16, 1.150590073977143e+05, 1.885831580774078e-01, 3.013233961026347e-03, 0.000000000000000e+00
89, 4.400740085990000e-01, 2.220446049250313e-16, 1.150588889493737e+05, 1.885461976052447e-01, 2.999643808581060e-03, 0.000000000000000e+00
90, 4.536879824320000e-01, 2.220446049250313e-16, 1.150587728234660e+05, 1.885099618221246e-01, 2.986049491699730e-03, 0.000000000000000e+00
91, 4.677962949600000e-01, 2.220446049250313e-16, 1.150586594190544e+05, 1.884745752512467e-01, 2.972436445605787e-03, 0.000000000000000e+00
92, 4.824295720830000e-01, 2.220446049250313e-16, 1.150585443982349e+05, 1.884386842984864e-01, 2.958823292971605e-03, 0.000000000000000e+00
93, 4.976209965680000e-01, 2.220446049250313e-16, 1.150584270379363e+05, 1.884020633376031e-01, 2.945205248199446e-03, 0.000000000000000e+00
94, 5.134065813120000e-01, 2.220446049250313e-16, 1.150583109198918e+05, 1.883658300081108e-01, 2.931572603885774e-03, 0.000000000000000e+00
95, 5.298254783930000e-01, 2.220446049250313e-16, 1.150581984523658e+05, 1.883307357818392e-01, 2.917919225706344e-03, 0.000000000000000e+00
96, 5.469203295140000e-01, 2.220446049250313e-16, 1.150580859477814e+05, 1.882956299919238e-01, 2.904237178763355e-03, 0.000000000000000e+00
97, 5.647376644470000e-01, 2.220446049250313e-16, 1.150579702231970e+05, 1.882595194372557e-01, 2.890513285802479e-03, 0.000000000000000e+00
98, 5.833283553420000e-01, 2.220446049250313e-16, 1.150578548895883e+05, 1.882235308821222e-01, 2.876735817421473e-03, 0.000000000000000e+00
99, 6.027481362320000e-01, 2.220446049250313e-16, 1.150577425552348e+05, 1.881884782108379e-01, 2.862896977035502e-03, 0.000000000000000e+00
100, 6.230581989500000e-01, 2.220446049250313e-16, 1.150576313994131e+05, 1.881537932871543e-01, 2.848987907971758e-03, 0.000000000000000e+00
101, 6.443258788700000e-01, 2.220446049250313e-16, 1.150575179076380e+05, 1.881183794554927e-01, 2.834995707315068e-03, 0.000000000000000e+00
102, 6.666254466970000e-01, 2.220446049250313e-16, 1.150574040409260e+05, 1.880828486290011e-01, 2.820906808645886e-03, 0.000000000000000e+00
103, 6.900390259370000e-01, 2.220446049250313e-16, 1.150572932398988e+05, 1.880482744149391e-01, 2.806710491122409e-03, 0.000000000000000e+00
104, 7.146576599530000e-01, 2.220446049250313e-16, 1.150571839455058e+05, 1.880141703291487e-01, 2.792395894351958e-03, 0.000000000000000e+00
105, 7.405825578610000e-01, 2.220446049250313e-16, 1.150570728381444e+05, 1.879795005269591e-01, 2.777948529253221e-03, 0.000000000000000e+00
106, 7.679265552350000e-01, 2.220446049250313e-16, 1.150569619722132e+05, 1.879449060603382e-01, 2.763352608420888e-03, 0.000000000000000e+00
107, 7.968158341210000e-01, 2.220446049250313e-16, 1.150568551141035e+05, 1.879115621893233e-01, 2.748593962619260e-03, 0.000000000000000e+00
108, 8.273919576770000e-01, 2.220446049250313e-16, 1.150567488793564e+05, 1.878784128316101e-01, 2.733657904990603e-03, 0.000000000000000e+00
109, 8.598142887360000e-01, 2.220446049250313e-16, 1.150566404547304e+05, 1.878445801468177e-01, 2.718527631398062e-03, 0.000000000000000e+00
110, 8.942628795040000e-01, 2.220446049250313e-16, 1.150565342747052e+05, 1.878114478644518e-01, 2.703189078677967e-03, 0.000000000000000e+00
111, 9.309419431120000e-01, 2.220446049250313e-16, 1.150564336171041e+05, 1.877800387924072e-01, 2.687629877260954e-03, 0.000000000000000e+00
112, 9.700840484090000e-01, 2.220446049250313e-16, 1.150563386816884e+05, 1.877504152639368e-01, 2.671827843435079e-03, 0.000000000000000e+00
113, 1.011955220140000e+00, 2.220446049250313e-16, 1.150562493763729e+05, 1.877225485448933e-01, 2.655730913929646e-03, 0.000000000000000e+00
114, 1.054913688830000e+00, 2.220446049250313e-16, 1.150561623004134e+05, 1.876953774713337e-01, 2.639951696264491e-03, 0.000000000000000e+00
115, 1.097872157520000e+00, 2.220446049250313e-16, 1.150560786518135e+05, 1.876692758667334e-01, 2.624846280832906e-03, 0.000000000000000e+00
116, 1.140830626210000e+00, 2.220446049250313e-16, 1.150560001325148e+05, 1.876447748029261e-01, 2.610378783137911e-03, 0.000000000000000e+00
117, 1.183789094900000e+00, 2.220446049250313e-16, 1.150559304597010e+05, 1.876230341851733e-01, 2.596511947481581e-03, 0.000000000000000e+00
118, 1.226747563590000e+00, 2.220446049250313e-16, 1.150558691644280e+05, 1.876039076847905e-01, 2.583210618593732e-03, 0.000000000000000e+00
119, 1.269706032280000e+00, 2.220446049250313e-16, 1.150558125122008e+05, 1.875862299946126e-01, 2.570440837289060e-03, 0.000000000000000e+00
120, 1.312664500970000e+00, 2.220446049250313e-16, 1.150557601122242e+05, 1.875698791713877e-01, 2.558167770039163e-03, 0.000000000000000e+00
121, 1.355622969660000e+00, 2.220446049250313e-16, 1.150557144623493e+05, 1.875556346414898e-01, 2.546358033756278e-03, 0.000000000000000e+00
122, 1.398581438350000e+00, 2.220446049250313e-16, 1.150556760565620e+05, 1.875436505476227e-01, 2.534983601397781e-03, 0.000000000000000e+00
123, 1.441539907040000e+00, 2.220446049250313e-16, 1.150556413668057e+05, 1.875328259994254e-01, 2.524018663866414e-03, 0.000000000000000e+00
124, 1.484498375720000e+00, 2.220446049250313e-16, 1.150556089175295e+05, 1.875227005678288e-01, 2.513431837141805e-03, 0.000000000000000e+00
125, 1.527456844410000e+00, 2.220446049250313e-16, 1.150555811815108e+05, 1.875140458552116e-01, 2.503197072215860e-03, 0.000000000000000e+00
126, 1.570415313100000e+00, 2.220446049250313e-16, 1.150555592356139e+05, 1.875071978849540e-01, 2.493298217653332e-03, 0.000000000000000e+00
127, 1.613373781790000e+00, 2.220446049250313e-16, 1.150555423694845e+05, 1.875019349990233e-01, 2.483718499511962e-03, 0.000000000000000e+00
128, 1.656332250480000e+00, 2.220446049250313e-16, 1.150555276911523e+05, 1.874973547905978e-01, 2.474443778442002e-03, 0.000000000000000e+00
129, 1.699290719170000e+00, 2.220446049250313e-16, 1.150555161305450e+05, 1.874937474331275e-01, 2.465462876153753e-03, 0.000000000000000e+00
130, 1.742249187860000e+00, 2.220446049250313e-16, 1.150555124189533e+05, 1.874925892727169e-01, 2.456763914032785e-03, 0.000000000000000e+00
131, 1.785207656550000e+00, 2.220446049250313e-16, 1.150555164483760e+05, 1.874938466087200e-01, 2.448313579259325e-03, 0.000000000000000e+00
132, 1.828166125240000e+00, 2.220446049250313e-16, 1.150555393295677e+05, 1.875009864271970e-01, 2.440046990540122e-03, 0.000000000000000e+00
133, 1.871124593930000e+00, 2.220446049250313e-16, 1.150555134642030e+05, 1.874929154311159e-01, 2.431823667321622e-03, 0.000000000000000e+00
134, 1.914083062620000e+00, 2.220446049250313e-16, 1.150556301777277e+05, 1.875293345734977e-01, 2.423816012104334e-03, 0.000000000000000e+00
135, 1.957041531310000e+00, 2.220446049250313e-16, 1.150547154013713e+05, 1.872438889024842e-01, 2.415078532804387e-03, 0.000000000000000e+00
136, 2.000000000000000e+00, 2.220446049250313e-16, 1.150639456940336e+05, 1.901240978892041e-01, 2.411825982596683e-03, 0.000000000000000e+00
