"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y"
63, 1.965957359540000e-01, 2.220446049250313e-16, 3.470520611628762e+04, 3.836114303337163e-03, 2.204995482153278e-03, 0.000000000000000e+00
64, 2.033804069020000e-01, 2.220446049250313e-16, 3.470323225579635e+04, 3.815583604642282e-03, 2.193758370565142e-03, 0.000000000000000e+00
65, 2.103041726230000e-01, 2.220446049250313e-16, 3.470121084346678e+04, 3.794558305407621e-03, 2.182747566324328e-03, 0.000000000000000e+00
66, 2.173728897500000e-01, 2.220446049250313e-16, 3.469901812390098e+04, 3.771751189642842e-03, 2.171932816658287e-03, 0.000000000000000e+00
67, 2.245927263960000e-01, 2.220446049250313e-16, 3.469696139588481e+04, 3.750358561651196e-03, 2.161306685730125e-03, 0.000000000000000e+00
68, 2.319701836540000e-01, 2.220446049250313e-16, 3.469515040548325e+04, 3.731521922264502e-03, 2.150866232769854e-03, 0.000000000000000e+00
69, 2.395121189030000e-01, 2.220446049250313e-16, 3.469341559732780e+04, 3.713477676639992e-03, 2.140603067177160e-03, 0.000000000000000e+00
70, 2.472257710730000e-01, 2.220446049250313e-16, 3.469143984605720e+04, 3.692927311397760e-03, 2.130495248563338e-03, 0.000000000000000e+00
71, 2.551187880890000e-01, 2.220446049250313e-16, 3.468946910130420e+04, 3.672429020405473e-03, 2.120530051468910e-03, 0.000000000000000e+00
72, 2.631992566980000e-01, 2.220446049250313e-16, 3.468769488957114e+04, 3.653974926677198e-03, 2.110700944193013e-03, 0.000000000000000e+00
73, 2.714757349350000e-01, 2.220446049250313e-16, 3.468612802886165e+04, 3.637677551424138e-03, 2.101008154640786e-03, 0.000000000000000e+00
74, 2.799572875080000e-01, 2.220446049250313e-16, 3.468432079345894e+04, 3.618879968875779e-03, 2.091438525170535e-03, 0.000000000000000e+00
75, 2.886535243940000e-01, 2.220446049250313e-16, 3.468237629387700e+04, 3.598654661562651e-03, 2.081974569782662e-03, 0.000000000000000e+00
76, 2.975746430190000e-01, 2.220446049250313e-16, 3.468061681723462e+04, 3.580353831810439e-03, 2.072612477728163e-03, 0.000000000000000e+00
77, 3.067314743950000e-01, 2.220446049250313e-16, 3.467902136437889e+04, 3.563759061304712e-03, 2.063346637463744e-03, 0.000000000000000e+00
78, 3.161355336610000e-01, 2.220446049250313e-16, 3.467746701422478e+04, 3.547591811987188e-03, 2.054173679792066e-03, 0.000000000000000e+00
79, 3.257990755320000e-01, 2.220446049250313e-16, 3.467567178058926e+04, 3.528919063319953e-03, 2.045083902739199e-03, 0.000000000000000e+00
80, 3.357351552200000e-01, 2.220446049250313e-16, 3.467386814920389e+04, 3.510158967207033e-03, 2.036065522818989e-03, 0.000000000000000e+00
81, 3.459576954530000e-01, 2.220446049250313e-16, 3.467221081682428e+04, 3.492920569724769e-03, 2.027109919486322e-03, 0.000000000000000e+00
82, 3.564815603450000e-01, 2.220446049250313e-16, 3.467077666810483e+04, 3.478003570588899e-03, 2.018219064404242e-03, 0.000000000000000e+00
83, 3.673226369200000e-01, 2.220446049250313e-16, 3.466916448485423e+04, 3.461234782366380e-03, 2.009389647268098e-03, 0.000000000000000e+00
84, 3.784979252510000e-01, 2.220446049250313e-16, 3.466737464104449e+04, 3.442618094849113e-03, 2.000608292386937e-03, 0.000000000000000e+00
85, 3.900256382880000e-01, 2.220446049250313e-16, 3.466570125652819e+04, 3.425212734411108e-03, 1.991867227281289e-03, 0.000000000000000e+00
86, 4.019253126140000e-01, 2.220446049250313e-16, 3.466416956968533e+04, 3.409281212804179e-03, 1.983158809853223e-03, 0.000000000000000e+00
87, 4.142179315450000e-01, 2.220446049250313e-16, 3.466277657477120e+04, 3.394792266400924e-03, 1.974485722606245e-03, 0.000000000000000e+00
88, 4.269260622260000e-01, 2.220446049250313e-16, 3.466112909002942e+04, 3.377656297072072e-03, 1.965844689410149e-03, 0.000000000000000e+00
89, 4.400740085990000e-01, 2.220446049250313e-16, 3.465941654005936e+04, 3.359843565326016e-03, 1.957221541768795e-03, 0.000000000000000e+00
90, 4.536879824320000e-01, 2.220446049250313e-16, 3.465782389232123e+04, 3.343277971666680e-03, 1.948606169901399e-03, 0.000000000000000e+00
91, 4.677962949600000e-01, 2.220446049250313e-16, 3.465645484400714e+04, 3.329038100835080e-03, 1.939999832700099e-03, 0.000000000000000e+00
92, 4.824295720830000e-01, 2.220446049250313e-16, 3.465495610174099e+04, 3.313449245379642e-03, 1.931403768485333e-03, 0.000000000000000e+00
93, 4.976209965680000e-01, 2.220446049250313e-16, 3.465324352753283e+04, 3.295636261525969e-03, 1.922806473642412e-03, 0.000000000000000e+00
94, 5.134065813120000e-01, 2.220446049250313e-16, 3.465159763996816e+04, 3.278516904902056e-03, 1.914196332657299e-03, 0.000000000000000e+00
95, 5.298254783930000e-01, 2.220446049250313e-16, 3.465009560677502e+04, 3.262893819555150e-03, 1.905567078639094e-03, 0.000000000000000e+00
96, 5.469203295140000e-01, 2.220446049250313e-16, 3.464868399589982e+04, 3.248211243110950e-03, 1.896921415157117e-03, 0.000000000000000e+00
97, 5.647376644470000e-01, 2.220446049250313e-16, 3.464701180858051e+04, 3.230818335068076e-03, 1.888256188563634e-03, 0.000000000000000e+00
98, 5.833283553420000e-01, 2.220446049250313e-16, 3.464529894188178e+04, 3.213002308934736e-03, 1.879555235947697e-03, 0.000000000000000e+00
99, 6.027481362320000e-01, 2.220446049250313e-16, 3.464371090472724e+04, 3.196484671300072e-03, 1.870806461337811e-03, 0.000000000000000e+00
100, 6.230581989500000e-01, 2.220446049250313e-16, 3.464234733266631e+04, 3.182301760574854e-03, 1.862014027636228e-03, 0.000000000000000e+00
101, 6.443258788700000e-01, 2.220446049250313e-16, 3.464069807654485e+04, 3.165147366609240e-03, 1.853178509983858e-03, 0.000000000000000e+00
102, 6.666254466970000e-01, 2.220446049250313e-16, 3.463894651138607e+04, 3.146928826505579e-03, 1.844280932245831e-03, 0.000000000000000e+00
103, 6.900390259370000e-01, 2.220446049250313e-16, 3.463731215020606e+04, 3.129929359170470e-03, 1.835306873743808e-03, 0.000000000000000e+00
104, 7.146576599530000e-01, 2.220446049250313e-16, 3.463590121652545e+04, 3.115253826424741e-03, 1.826259873344437e-03, 0.000000000000000e+00
105, 7.405825578610000e-01, 2.220446049250313e-16, 3.463418215896087e+04, 3.097373407289940e-03, 1.817138361909194e-03, 0.000000000000000e+00
106, 7.679265552350000e-01, 2.220446049250313e-16, 3.463238131130122e+04, 3.078642265520274e-03, 1.807920799617803e-03, 0.000000000000000e+00
107, 7.968158341210000e-01, 2.220446049250313e-16, 3.463073830366288e+04, 3.061552863850131e-03, 1.798578432325468e-03, 0.000000000000000e+00
108, 8.273919576770000e-01, 2.220446049250313e-16, 3.462916360548935e+04, 3.045173968847641e-03, 1.789073373172925e-03, 0.000000000000000e+00
109, 8.598142887360000e-01, 2.220446049250313e-16, 3.462731039911629e+04, 3.025898228827950e-03, 1.779451125782843e-03, 0.000000000000000e+00
110, 8.942628795040000e-01, 2.220446049250313e-16, 3.462549277921914e+04, 3.006992634124039e-03, 1.769690234323702e-03, 0.000000000000000e+00
111, 9.309419431120000e-01, 2.220446049250313e-16, 3.462386363007588e+04, 2.990047378703358e-03, 1.759782427584204e-03, 0.000000000000000e+00
112, 9.700840484090000e-01, 2.220446049250313e-16, 3.462203234053768e+04, 2.970999602075665e-03, 1.749726694002066e-03, 0.000000000000000e+00
113, 1.011955220140000e+00, 2.220446049250313e-16, 3.462015541160409e+04, 2.951477116784776e-03, 1.739476689561430e-03, 0.000000000000000e+00
114, 1.054913688830000e+00, 2.220446049250313e-16, 3.461851255904223e+04, 2.934389328110324e-03, 1.729422265452976e-03, 0.000000000000000e+00
115, 1.097872157520000e+00, 2.220446049250313e-16, 3.461690787335261e+04, 2.917698524206355e-03, 1.719809581553005e-03, 0.000000000000000e+00
116, 1.140830626210000e+00, 2.220446049250313e-16, 3.461520480785685e+04, 2.899984443243796e-03, 1.710609393632213e-03, 0.000000000000000e+00
117, 1.183789094900000e+00, 2.220446049250313e-16, 3.461366793926301e+04, 2.883999024733603e-03, 1.701788629848036e-03, 0.000000000000000e+00
118, 1.226747563590000e+00, 2.220446049250313e-16, 3.461238676457140e+04, 2.870673153079896e-03, 1.693332324502961e-03, 0.000000000000000e+00
119, 1.269706032280000e+00, 2.220446049250313e-16, 3.461096748827897e+04, 2.855910846395355e-03, 1.685220719029602e-03, 0.000000000000000e+00
120, 1.312664500970000e+00, 2.220446049250313e-16, 3.460948923078070e+04, 2.840535058985560e-03, 1.677422656379790e-03, 0.000000000000000e+00
121, 1.355622969660000e+00, 2.220446049250313e-16, 3.460816963285765e+04, 2.826809536094571e-03, 1.669914701151998e-03, 0.000000000000000e+00
122, 1.398581438350000e+00, 2.220446049250313e-16, 3.460706553842033e+04, 2.815325527815552e-03, 1.662685478571917e-03, 0.000000000000000e+00
123, 1.441539907040000e+00, 2.220446049250313e-16, 3.460585719803064e+04, 2.802757226980133e-03, 1.655723824739522e-03, 0.000000000000000e+00
124, 1.484498375720000e+00, 2.220446049250313e-16, 3.460456417071925e+04, 2.789308072770945e-03, 1.649007860907439e-03, 0.000000000000000e+00
125, 1.527456844410000e+00, 2.220446049250313e-16, 3.460335119899375e+04, 2.776691600060916e-03, 1.642517120705328e-03, 0.000000000000000e+00
126, 1.570415313100000e+00, 2.220446049250313e-16, 3.460230265711113e+04, 2.765785410106556e-03, 1.636238061974903e-03, 0.000000000000000e+00
127, 1.613373781790000e+00, 2.220446049250313e-16, 3.460139939167180e+04, 2.756390282812477e-03, 1.630164330718306e-03, 0.000000000000000e+00
128, 1.656332250480000e+00, 2.220446049250313e-16, 3.460035826175319e+04, 2.745561186857690e-03, 1.624287848535354e-03, 0.000000000000000e+00
129, 1.699290719170000e+00, 2.220446049250313e-16, 3.459924843961042e+04, 2.734017603043723e-03, 1.618592914155385e-03, 0.000000000000000e+00
130, 1.742249187860000e+00, 2.220446049250313e-16, 3.459820231939387e+04, 2.723136601544548e-03, 1.613067672110954e-03, 0.000000000000000e+00
131, 1.785207656550000e+00, 2.220446049250313e-16, 3.459726070402371e+04, 2.713342585434201e-03, 1.607693794345260e-03, 0.000000000000000e+00
132, 1.828166125240000e+00, 2.220446049250313e-16, 3.459654412089491e+04, 2.705889195302303e-03, 1.602499931453950e-03, 0.000000000000000e+00
133, 1.871124593930000e+00, 2.220446049250313e-16, 3.459573137323411e+04, 2.697435569824478e-03, 1.597340265427821e-03, 0.000000000000000e+00
134, 1.914083062620000e+00, 2.220446049250313e-16, 3.459431864703438e+04, 2.682741392564544e-03, 1.592584219400035e-03, 0.000000000000000e+00
135, 1.957041531310000e+00, 2.220446049250313e-16, 3.459764496013961e+04, 2.717339345373427e-03, 1.585638243526438e-03, 0.000000000000000e+00
136, 2.000000000000000e+00, 2.220446049250313e-16, 3.449899395971553e+04, 1.691241515961350e-03, 1.603085143099095e-03, 0.000000000000000e+00
